,uid,title,episodes,members,score,Comedy,Action,Fantasy,Adventure,Drama,Sci-Fi,Hentai,Kids,Shounen,Romance,Slice of Life,Music,School,Supernatural,Historical,Mecha,Magic,Seinen,Mystery,Sports,Ecchi,Shoujo,Super Power,Parody,Military
36,552,Digimon Adventure,54.0,274830,7.86,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,1689,Byousoku 5 Centimeter,3.0,554071,7.86,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,8609,Detective Conan OVA 10: Kid in Trap Island,1.0,12337,7.86,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
39,34944,Bungou Stray Dogs: Dead Apple,1.0,73839,7.86,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
40,36214,Asagao to Kase-san.,1.0,33444,7.86,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
41,32863,Ansatsu Kyoushitsu 2nd Season: Kagaijugyou-hen,8.0,33163,7.86,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
42,36160,Yaoguai Mingdan 2nd Season,21.0,5238,7.87,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,33064,Uchuu Senkan Yamato 2202: Ai no Senshi-tachi,26.0,14326,7.87,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
44,2265,Transformers the Movie,1.0,11245,7.87,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
45,11001,Toshokan Sensou: Kakumei no Tsubasa,1.0,16716,7.87,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
46,39940,Shokugeki no Souma: Shin no Sara,12.0,162213,7.87,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
47,322,Paradise Kiss,12.0,122787,7.87,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,38958,Manga de Wakaru! Fate/Grand Order,1.0,7545,7.87,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,4472,Lucky☆Star: Original na Visual to Animation,1.0,105307,7.87,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
50,97,Last Exile,26.0,137273,7.87,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,468,Koukaku Kidoutai 2: Innocence,1.0,121133,7.87,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
52,7645,Heartcatch Precure!,49.0,20414,7.87,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0
53,3604,Hidamari Sketch x 365,13.0,24921,7.87,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
54,1491,Ginga Tetsudou 999,113.0,21402,7.87,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,19319,Gundam Build Fighters,25.0,50399,7.87,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
56,1571,Ghost Hunt,25.0,172769,7.87,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
57,35222,Gakuen Babysitters,12.0,94090,7.87,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
58,38770,Detective Conan Movie 23: The Fist of Blue Sapphire,1.0,8328,7.87,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
59,269,Bleach,366.0,1002578,7.87,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
60,30123,Akagami no Shirayuki-hime,12.0,336418,7.87,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
61,32998,91 Days,12.0,340857,7.87,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
62,202,Wolf's Rain,26.0,238834,7.88,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
63,5005,Tentai Senshi Sunred,26.0,17654,7.88,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
64,18397,Shingeki no Kyojin OVA,3.0,222243,7.88,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
65,3750,Maria-sama ga Miteru 4th,13.0,15994,7.88,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
66,33263,Kubikiri Cycle: Aoiro Savant to Zaregototsukai,8.0,61280,7.88,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
67,32380,Kono Subarashii Sekai ni Shukufuku wo!: Kono Subarashii Choker ni Shukufuku wo!,1.0,181220,7.88,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
68,35860,Karakai Jouzu no Takagi-san,12.0,235513,7.88,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
69,3092,Junjou Romantica,12.0,169037,7.88,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,38084,Fate/Grand Order: Zettai Majuu Sensen Babylonia,21.0,80237,7.88,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
71,37033,Emiya-san Chi no Kyou no Gohan,13.0,59944,7.88,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
